id;gender;firstName;lastName;club;dateOfBirth;weight;license;category;present
1;FEMALE;Mégane;Silvestre;4;17/07/2012;31;F20120716SILVE;BENJAMIN;Y
4;FEMALE;Rachel;Girard;5;24/01/2014;29;F20140123GIRAR;BENJAMIN;N
8;FEMALE;Marie-Françoise;Pernet;8;25/08/2013;28;F20130824PERNE;BENJAMIN;Y
19;FEMALE;Lisa;Guilbert;4;12/09/2012;30;F20120911GUILB;BENJAMIN;N
27;FEMALE;Aurélia;Raoult;7;21/08/2011;31;F20110820RAOUL;BENJAMIN;Y
31;FEMALE;Nicolette;Beaumanoir;2;07/01/2014;27;F20140106BEAUM;BENJAMIN;Y
40;FEMALE;Claudie;Blanchard;3;05/06/2014;35;F20140604BLANC;BENJAMIN;N
42;FEMALE;Jasmine;Figuier;8;09/07/2011;27;F20110708FIGUI;BENJAMIN;N
51;FEMALE;Aurélie;Bourseiller;5;01/03/2013;25;F20130228BOURS;BENJAMIN;N
55;FEMALE;Francine;Léger;6;04/12/2014;33;F20141203LÉGER;BENJAMIN;N
84;FEMALE;Fiona;Ponce;6;20/01/2013;27;F20130119PONCE;BENJAMIN;N
89;FEMALE;Blandine;Alméras;7;17/05/2014;31;F20140516ALMÉR;BENJAMIN;Y
90;FEMALE;Linda;Rousselot;3;15/07/2012;26;F20120714ROUSS;BENJAMIN;Y
107;FEMALE;Gwenaëlle;Soyer;2;12/04/2014;31;F20140411SOYER;BENJAMIN;Y
109;FEMALE;Christiane;Vidal;8;12/03/2014;32;F20140311VIDAL;BENJAMIN;N
110;FEMALE;Adeline;Masson;1;22/11/2012;31;F20121121MASSO;BENJAMIN;Y
115;FEMALE;Victoire;Jacquard;8;16/09/2013;32;F20130915JACQU;BENJAMIN;N
119;FEMALE;Dany;Matthieu;7;03/05/2013;25;F20130502MATTH;BENJAMIN;Y
121;FEMALE;Chloé;Boulanger;7;24/06/2011;33;F20110623BOULA;BENJAMIN;Y
125;FEMALE;Ilonna;Robillard;2;15/08/2013;25;F20130814ROBIL;BENJAMIN;Y
127;FEMALE;Angeline;Doisneau;1;14/10/2014;32;F20141013DOISN;BENJAMIN;N
134;FEMALE;Romaine;Gérin-Lajoie;3;26/04/2013;32;F20130425GÉRIN;BENJAMIN;Y
142;FEMALE;Alix;Geiger;3;23/03/2011;32;F20110322GEIGE;BENJAMIN;Y
147;FEMALE;Colette;Rochefort;1;17/08/2013;34;F20130816ROCHE;BENJAMIN;N
150;FEMALE;Chantal;Bonhomme;6;01/12/2012;28;F20121130BONHO;BENJAMIN;Y
159;FEMALE;Amélie;About;8;21/07/2013;34;F20130720ABOUT;BENJAMIN;Y
160;FEMALE;Claudine;Bourque;7;23/06/2014;30;F20140622BOURQ;BENJAMIN;Y
