id;gender;firstName;lastName;club;dateOfBirth;weight;license;category;present
3;MALE;Natanaël;Aveline;3;25/04/2013;33;M20130424AVELI;BENJAMIN;Y
6;MALE;Sacha;Bonnot;6;21/12/2013;34;M20131220BONNO;BENJAMIN;Y
7;MALE;Hubert;Thévenet;5;22/08/2011;35;M20110821THÉVE;BENJAMIN;Y
9;MALE;Moïse;Niel;2;18/04/2014;25;M20140417NIEL;BENJAMIN;N
14;MALE;Gaëtan;Pueyrredón;5;18/09/2014;34;M20140917PUEYR;BENJAMIN;N
17;MALE;Jasmin;Brugière;6;16/03/2014;29;M20140315BRUGI;BENJAMIN;Y
26;MALE;Tobie;Jacquemoud;6;20/10/2012;29;M20121019JACQU;BENJAMIN;N
28;MALE;Robert;Chabert;3;24/02/2014;35;M20140223CHABE;BENJAMIN;N
32;MALE;Joël;Rousseau;4;05/07/2013;26;M20130704ROUSS;BENJAMIN;Y
33;MALE;Damien;Bélanger;4;10/12/2013;25;M20131209BÉLAN;BENJAMIN;N
36;MALE;Baptiste;Bonhomme;3;10/11/2013;25;M20131109BONHO;BENJAMIN;Y
37;MALE;Jules;Philippon;6;20/04/2014;26;M20140419PHILI;BENJAMIN;N
38;MALE;Jérémy;Cazal;2;17/02/2012;31;M20120216CAZAL;BENJAMIN;Y
41;MALE;Ernest;Fétique;3;01/12/2014;35;M20141130FÉTIQ;BENJAMIN;Y
45;MALE;Brice;Houdin;2;07/09/2014;32;M20140906HOUDI;BENJAMIN;N
54;MALE;Alfred;Barthélemy;2;02/04/2012;27;M20120401BARTH;BENJAMIN;N
57;MALE;Maxime;Boutin;7;20/08/2012;30;M20120819BOUTI;BENJAMIN;N
58;MALE;Daniel;De;5;13/02/2011;34;M20110212DE;BENJAMIN;N
59;MALE;Côme;Chauve;7;25/02/2012;31;M20120224CHAUV;BENJAMIN;Y
65;MALE;Godefroy;Brunet;4;12/09/2012;28;M20120911BRUNE;BENJAMIN;Y
68;MALE;Cyrille;Peltier;8;17/08/2013;34;M20130816PELTI;BENJAMIN;N
86;MALE;Luc;Niel;5;18/02/2013;27;M20130217NIEL;BENJAMIN;N
92;MALE;Justin;Bruguière;6;16/01/2013;25;M20130115BRUGU;BENJAMIN;N
95;MALE;Jean-Marc;Gaume;3;13/01/2012;33;M20120112GAUME;BENJAMIN;N
96;MALE;Baptiste;Lavigne;5;26/09/2014;33;M20140925LAVIG;BENJAMIN;Y
97;MALE;Gaëtan;Sadoul;1;22/12/2014;25;M20141221SADOU;BENJAMIN;N
99;MALE;Jean-Christophe;Allemand;2;06/12/2014;33;M20141205ALLEM;BENJAMIN;Y
100;MALE;Jérémy;Ballesdens;2;10/04/2011;34;M20110409BALLE;BENJAMIN;Y
101;MALE;Constantin;Cerfbeer;5;06/09/2011;28;M20110905CERFB;BENJAMIN;N
103;MALE;Armel;Delaunay;5;20/10/2012;30;M20121019DELAU;BENJAMIN;Y
111;MALE;Désiré;Lebas;7;07/07/2012;34;M20120706LEBAS;BENJAMIN;Y
117;MALE;Raoul;Aubert;3;17/02/2012;25;M20120216AUBER;BENJAMIN;Y
120;MALE;Maurice;Martin;3;26/07/2014;31;M20140725MARTI;BENJAMIN;Y
122;MALE;Wilfried;Baschet;7;10/03/2012;26;M20120309BASCH;BENJAMIN;N
132;MALE;Romuald;Bettencourt;4;04/01/2014;35;M20140103BETTE;BENJAMIN;N
136;MALE;Yves;Bocuse;8;27/03/2012;33;M20120326BOCUS;BENJAMIN;N
139;MALE;Lou;Paquin;4;14/08/2011;33;M20110813PAQUI;BENJAMIN;N
143;MALE;Mickaël;Fouché;2;06/04/2014;34;M20140405FOUCH;BENJAMIN;N
154;MALE;Édouard;Gaubert;1;05/10/2013;33;M20131004GAUBE;BENJAMIN;Y
