id;gender;firstName;lastName;club;dateOfBirth;weight;license;category;present
2;FEMALE;Abby;Carbonneau;7;17/05/2019;31;F20190516CARBO;MINI_POUSSIN;N
5;FEMALE;Lara;Calvet;8;23/04/2017;34;F20170422CALVE;MINI_POUSSIN;Y
11;FEMALE;Séraphine;Bechard;6;13/09/2017;32;F20170912BECHA;MINI_POUSSIN;N
13;FEMALE;Jeanne;Balzac;5;04/12/2018;33;F20181203BALZA;MINI_POUSSIN;Y
15;FEMALE;Haydée;Paquin;8;04/12/2017;35;F20171203PAQUI;MINI_POUSSIN;N
16;FEMALE;Edwige;Trémaux;5;22/02/2017;31;F20170221TRÉMA;MINI_POUSSIN;N
20;FEMALE;Angélique;Lavaud;3;19/01/2019;33;F20190118LAVAU;MINI_POUSSIN;Y
21;FEMALE;Nancy;Lièvremont;6;22/06/2017;34;F20170621LIÈVR;MINI_POUSSIN;N
22;FEMALE;Huguette;Bittencourt;2;23/10/2019;29;F20191022BITTE;MINI_POUSSIN;N
24;FEMALE;Ophélie;Trintignant;3;03/08/2017;30;F20170802TRINT;MINI_POUSSIN;Y
25;FEMALE;Arlette;Baillairgé;8;09/02/2019;30;F20190208BAILL;MINI_POUSSIN;N
44;FEMALE;Pascaline;Adnet;1;24/06/2018;30;F20180623ADNET;MINI_POUSSIN;N
49;FEMALE;Roselyne;Anouilh;8;15/09/2018;32;F20180914ANOUI;MINI_POUSSIN;N
63;FEMALE;Marie-Claude;Guillaume;1;07/03/2018;29;F20180306GUILL;MINI_POUSSIN;Y
66;FEMALE;Ophélie;Manaudou;6;11/01/2018;27;F20180110MANAU;MINI_POUSSIN;N
67;FEMALE;Christiane;Périer;6;09/05/2019;25;F20190508PÉRIE;MINI_POUSSIN;Y
69;FEMALE;Nicole;Devereaux;7;01/12/2018;29;F20181130DEVER;MINI_POUSSIN;N
73;FEMALE;Lorraine;Berlioz;1;11/12/2018;34;F20181210BERLI;MINI_POUSSIN;N
74;FEMALE;Carla;Guillaume;4;12/05/2017;25;F20170511GUILL;MINI_POUSSIN;Y
80;FEMALE;Pascale;Beauregard;5;25/10/2017;27;F20171024BEAUR;MINI_POUSSIN;N
81;FEMALE;Isabelle;Dubost;5;02/07/2018;26;F20180701DUBOS;MINI_POUSSIN;Y
83;FEMALE;Isabelle;Clérico;6;07/05/2018;33;F20180506CLÉRI;MINI_POUSSIN;Y
88;FEMALE;Hortense;Morel;8;13/10/2019;30;F20191012MOREL;MINI_POUSSIN;Y
102;FEMALE;Nadia;Vaillancourt;6;22/06/2018;30;F20180621VAILL;MINI_POUSSIN;Y
116;FEMALE;Charlotte;Thibodeau;7;24/01/2019;32;F20190123THIBO;MINI_POUSSIN;Y
123;FEMALE;Laurence;Boissonade;4;18/12/2019;27;F20191217BOISS;MINI_POUSSIN;Y
130;FEMALE;Hélène;Mesny;2;23/01/2017;26;F20170122MESNY;MINI_POUSSIN;Y
133;FEMALE;Carmen;Galopin;7;01/01/2017;28;F20161231GALOP;MINI_POUSSIN;N
137;FEMALE;Christelle;Seyrès;8;09/10/2017;33;F20171008SEYRÈ;MINI_POUSSIN;Y
140;FEMALE;Stéphane;Pretre;6;05/07/2018;26;F20180704PRETR;MINI_POUSSIN;Y
148;FEMALE;Fabienne;Beaux;4;21/02/2018;35;F20180220BEAUX;MINI_POUSSIN;Y
152;FEMALE;Abelone;Appell;6;07/09/2018;33;F20180906APPEL;MINI_POUSSIN;N
156;FEMALE;Agnès;Gaudreau;2;01/12/2018;28;F20181130GAUDR;MINI_POUSSIN;N
158;FEMALE;Emilie;Moitessier;4;04/09/2017;33;F20170903MOITE;MINI_POUSSIN;Y
