id;gender;firstName;lastName;club;dateOfBirth;weight;license;category;present
10;MALE;Thibaud;Gilson;1;25/06/2018;34;M20180624GILSO;MINI_POUSSIN;Y
12;MALE;Gautier;Sardou;6;25/03/2019;31;M20190324SARDO;MINI_POUSSIN;N
29;MALE;Maurice;Baillairgé;7;12/10/2017;33;M20171011BAILL;MINI_POUSSIN;Y
34;MALE;Éric;Belyea;1;18/06/2018;32;M20180617BELYE;MINI_POUSSIN;Y
47;MALE;Godefroy;Michaux;8;16/05/2017;32;M20170515MICHA;MINI_POUSSIN;N
48;MALE;Vivien;Carrel;3;01/02/2018;29;M20180131CARRE;MINI_POUSSIN;N
52;MALE;Dany;Ouvrard;5;27/02/2017;27;M20170226OUVRA;MINI_POUSSIN;Y
56;MALE;Henri;Descombes;4;10/02/2019;35;M20190209DESCO;MINI_POUSSIN;N
64;MALE;Jean-Baptiste;Dior;1;21/04/2018;30;M20180420DIOR;MINI_POUSSIN;N
75;MALE;Félix;Seyrès;2;20/07/2019;28;M20190719SEYRÈ;MINI_POUSSIN;Y
78;MALE;Jean-Claude;Boissonade;5;08/10/2018;31;M20181007BOISS;MINI_POUSSIN;Y
79;MALE;Hervé;Nee;6;19/10/2018;31;M20181018NEE;MINI_POUSSIN;N
82;MALE;Julien;Flandin;1;18/06/2017;32;M20170617FLAND;MINI_POUSSIN;N
85;MALE;Émile;Leroux;6;04/02/2017;26;M20170203LEROU;MINI_POUSSIN;N
91;MALE;Barthélemy;Silvestre;6;05/12/2018;30;M20181204SILVE;MINI_POUSSIN;N
93;MALE;Renaud;Tremblay;6;16/12/2018;35;M20181215TREMB;MINI_POUSSIN;N
94;MALE;Estienne;Gicquel;8;24/06/2018;30;M20180623GICQU;MINI_POUSSIN;N
105;MALE;Clément;Ange;2;24/05/2019;26;M20190523ANGE;MINI_POUSSIN;N
106;MALE;Vincent;Deschanel;2;10/10/2018;31;M20181009DESCH;MINI_POUSSIN;Y
108;MALE;Cyrille;Sardou;3;25/03/2017;32;M20170324SARDO;MINI_POUSSIN;N
113;MALE;Daniel;Gaume;7;17/08/2017;26;M20170816GAUME;MINI_POUSSIN;Y
114;MALE;Axel;Chappuis;2;27/11/2018;32;M20181126CHAPP;MINI_POUSSIN;Y
118;MALE;Louis;Boulanger;8;04/10/2017;32;M20171003BOULA;MINI_POUSSIN;Y
124;MALE;Bruno;Robillard;3;18/09/2018;32;M20180917ROBIL;MINI_POUSSIN;Y
131;MALE;Jean-Louis;Hébras;7;07/08/2017;29;M20170806HÉBRA;MINI_POUSSIN;N
141;MALE;Florent;Laframboise;4;04/03/2017;27;M20170303LAFRA;MINI_POUSSIN;Y
149;MALE;Médard;Compere;8;27/05/2017;32;M20170526COMPE;MINI_POUSSIN;Y
155;MALE;Maxence;Boucher;7;12/06/2017;30;M20170611BOUCH;MINI_POUSSIN;Y
