id;gender;firstName;lastName;club;dateOfBirth;weight;license;category;present
18;MALE;Mathieu;Portier;1;10/12/2016;26;M20161209PORTI;POUSSIN;Y
23;MALE;Godefroy;Lalande;2;17/04/2015;31;M20150416LALAN;POUSSIN;N
30;MALE;Adam;Rodier;5;16/09/2015;35;M20150915RODIE;POUSSIN;Y
39;MALE;Hippolyte;Laflèche;6;13/12/2015;27;M20151212LAFLÈ;POUSSIN;N
43;MALE;Gervais;Duchemin;5;26/02/2016;27;M20160225DUCHE;POUSSIN;N
46;MALE;Thaddée;Trémaux;4;27/01/2016;33;M20160126TRÉMA;POUSSIN;N
50;MALE;Quentin;Delaplace;3;20/08/2016;33;M20160819DELAP;POUSSIN;N
53;MALE;Jean-Charles;Trintignant;1;20/02/2015;27;M20150219TRINT;POUSSIN;Y
60;MALE;Olivier;Bullion;1;07/06/2016;26;M20160606BULLI;POUSSIN;N
61;MALE;Gwenaël;Dubost;5;03/03/2016;34;M20160302DUBOS;POUSSIN;N
62;MALE;Jasmin;Marchal;8;11/02/2016;34;M20160210MARCH;POUSSIN;Y
70;MALE;Valéry;Duhamel;1;27/04/2015;25;M20150426DUHAM;POUSSIN;N
72;MALE;Florian;Courtet;2;07/10/2015;25;M20151006COURT;POUSSIN;N
77;MALE;Jean-Jacques;Boffrand;7;21/02/2015;30;M20150220BOFFR;POUSSIN;Y
87;MALE;Grégory;Mossé;7;21/07/2016;31;M20160720MOSSÉ;POUSSIN;N
98;MALE;Maximilien;Robineau;1;14/03/2016;32;M20160313ROBIN;POUSSIN;Y
135;MALE;Ignace;Roatta;6;13/03/2016;31;M20160312ROATT;POUSSIN;N
138;MALE;Lou;Thévenet;7;06/03/2016;34;M20160305THÉVE;POUSSIN;N
144;MALE;Victor;Suchet;3;21/07/2016;32;M20160720SUCHE;POUSSIN;N
145;MALE;Alban;Gigot;7;18/06/2015;34;M20150617GIGOT;POUSSIN;Y
146;MALE;Quentin;Ouvrard;6;21/11/2016;35;M20161120OUVRA;POUSSIN;N
151;MALE;Lucas;LeBeau;5;12/09/2016;28;M20160911LEBEA;POUSSIN;Y
153;MALE;Eugène;Chopin;4;22/10/2016;25;M20161021CHOPI;POUSSIN;Y
