id;gender;firstName;lastName;club;dateOfBirth;weight;license;category;present
1;FEMALE;Mégane;Silvestre;4;17/07/2012;42;F20120716SILVE;BENJAMIN;Y
2;FEMALE;Abby;Carbonneau;7;17/05/2019;;F20190516CARBO;MINI_POUSSIN;N
3;MALE;Natanaël;Aveline;3;25/04/2013;48;M20130424AVELI;BENJAMIN;Y
4;FEMALE;Rachel;Girard;5;24/01/2014;41;F20140123GIRAR;BENJAMIN;N
5;FEMALE;Lara;Calvet;8;23/04/2017;;F20170422CALVE;MINI_POUSSIN;Y
6;MALE;Sacha;Bonnot;6;21/12/2013;49;M20131220BONNO;BENJAMIN;Y
7;MALE;Hubert;Thévenet;5;22/08/2011;45;M20110821THÉVE;BENJAMIN;Y
8;FEMALE;Marie-Françoise;Pernet;8;25/08/2013;43;F20130824PERNE;BENJAMIN;Y
9;MALE;Moïse;Niel;2;18/04/2014;43;M20140417NIEL;BENJAMIN;N
10;MALE;Thibaud;Gilson;1;25/06/2018;;M20180624GILSO;MINI_POUSSIN;Y
11;FEMALE;Séraphine;Bechard;6;13/09/2017;;F20170912BECHA;MINI_POUSSIN;N
12;MALE;Gautier;Sardou;6;25/03/2019;;M20190324SARDO;MINI_POUSSIN;N
13;FEMALE;Jeanne;Balzac;5;04/12/2018;;F20181203BALZA;MINI_POUSSIN;Y
14;MALE;Gaëtan;Pueyrredón;5;18/09/2014;44;M20140917PUEYR;BENJAMIN;N
15;FEMALE;Haydée;Paquin;8;04/12/2017;;F20171203PAQUI;MINI_POUSSIN;N
16;FEMALE;Edwige;Trémaux;5;22/02/2017;;F20170221TRÉMA;MINI_POUSSIN;N
17;MALE;Jasmin;Brugière;6;16/03/2014;48;M20140315BRUGI;BENJAMIN;Y
18;MALE;Mathieu;Portier;1;10/12/2016;;M20161209PORTI;POUSSIN;Y
19;FEMALE;Lisa;Guilbert;4;12/09/2012;;F20120911GUILB;BENJAMIN;N
20;FEMALE;Angélique;Lavaud;3;19/01/2019;;F20190118LAVAU;MINI_POUSSIN;Y
21;FEMALE;Nancy;Lièvremont;6;22/06/2017;;F20170621LIÈVR;MINI_POUSSIN;N
22;FEMALE;Huguette;Bittencourt;2;23/10/2019;;F20191022BITTE;MINI_POUSSIN;N
23;MALE;Godefroy;Lalande;2;17/04/2015;;M20150416LALAN;POUSSIN;N
24;FEMALE;Ophélie;Trintignant;3;03/08/2017;;F20170802TRINT;MINI_POUSSIN;Y
25;FEMALE;Arlette;Baillairgé;8;09/02/2019;;F20190208BAILL;MINI_POUSSIN;N
26;MALE;Tobie;Jacquemoud;6;20/10/2012;;M20121019JACQU;BENJAMIN;N
27;FEMALE;Aurélia;Raoult;7;21/08/2011;44;F20110820RAOUL;BENJAMIN;Y
28;MALE;Robert;Chabert;3;24/02/2014;;M20140223CHABE;BENJAMIN;N
29;MALE;Maurice;Baillairgé;7;12/10/2017;;M20171011BAILL;MINI_POUSSIN;Y
30;MALE;Adam;Rodier;5;16/09/2015;;M20150915RODIE;POUSSIN;Y
31;FEMALE;Nicolette;Beaumanoir;2;07/01/2014;49;F20140106BEAUM;BENJAMIN;Y
32;MALE;Joël;Rousseau;4;05/07/2013;47;M20130704ROUSS;BENJAMIN;Y
33;MALE;Damien;Bélanger;4;10/12/2013;;M20131209BÉLAN;BENJAMIN;N
34;MALE;Éric;Belyea;1;18/06/2018;;M20180617BELYE;MINI_POUSSIN;Y
35;FEMALE;Thaïs;Féret;6;24/04/2016;;F20160423FÉRET;POUSSIN;N
